# Docling sidecar — Python dependency license inventory
# Generated by scanning */dist-info METADATA in the bundled env (python3.13).
# Reviewed 2026-06-25. Strong copyleft (GPL/AGPL): NONE.
#
PACKAGE                                  LICENSE
accelerate-1.13.0                        Apache
aiohappyeyeballs-2.6.2                   PSF-2.0
aiohttp_cors-0.8.1                       Apache License, Version 2.0
aiohttp-3.14.0                           Apache-2.0 AND MIT
aiosignal-1.4.0                          Apache 2.0
annotated_doc-0.0.4                      MIT
annotated_types-0.7.0                    MIT License
antlr4_python3_runtime-4.9.3             BSD
anyio-4.13.0                             MIT
asgiref-3.11.1                           BSD-3-Clause
asttokens-3.0.1                          Apache 2.0
attrs-26.1.0                             MIT
av-17.0.1                                BSD-3-Clause
bcrypt-5.0.0                             Apache-2.0
beautifulsoup4-4.14.3                    MIT License
boto3-1.43.23                            Apache-2.0
botocore-1.43.23                         Apache-2.0
certifi-2026.5.20                        MPL-2.0
cffi-2.0.0                               MIT
charset_normalizer-3.4.7                 MIT
click_option_group-0.5.7                 BSD-3-Clause
click-8.4.1                              BSD-3-Clause
codeflare_sdk-0.34.0                     Apache-2.0
colorful-0.5.8                           MIT License
colorlog-6.10.1                          MIT License
comm-0.2.3                               BSD 3-Clause License
croniter-6.2.2                           MIT
cryptography-46.0.3                      Apache-2.0 OR BSD-3-Clause
decorator-5.3.1                          BSD-2-Clause
defusedxml-0.7.1                         PSFL
detect_installer-0.1.0                   0BSD
dill-0.4.1                               BSD-3-Clause
distlib-0.4.1                            PSF-2.0
dnspython-2.8.0                          ISC
docling_core-2.78.1                      MIT
docling_ibm_models-3.13.3                MIT
docling_jobkit-1.20.1                    MIT
docling_mcp-2.0.1                        MIT
docling_parse-6.2.0                      MIT
docling_serve-1.21.0                     MIT
docling_slim-2.97.0                      MIT
docling-2.97.0                           MIT
docstring_parser-0.18.0                  MIT
email_validator-2.3.0                    Unlicense
et_xmlfile-2.0.0                         MIT
executing-1.2.0                          MIT
faker-40.21.0                            MIT License
fastapi_cli-0.0.24                       MIT
fastapi_cloud_cli-0.19.0                 MIT
fastapi-0.136.3                          MIT
fastar-0.11.0                            MIT
filelock-3.29.1                          MIT
filetype-1.2.0                           MIT
frozenlist-1.8.0                         Apache-2.0
fsspec-2026.2.0                          BSD-3-Clause
google_api_core-2.31.0                   Apache 2.0
google_auth-2.53.0                       Apache 2.0
google_cloud_core-2.6.0                  Apache 2.0
google_cloud_storage-3.11.0              Apache-2.0
google_crc32c-1.8.0                      (see package; permissive)
google_resumable_media-2.10.0            Apache 2.0
googleapis_common_protos-1.75.0          Apache 2.0
grpcio-1.67.1                            Apache License 2.0
h11-0.16.0                               MIT
